Company,Address,Phone,Website,YELP Profile,Rating - stars,Number of reviews,Prices,Venue type
The City Pavilion,Collier Row Road Essex London RM5 3NX,020 8924 4000,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.thecitypavilion.co.uk&cachebuster=1639565277&website_link_type=website&src_bizid=0gznTLtHIHkWPpggVUdYfA&s=c8608cc2c684a0c9e34fc98ccd82d295d0b81ab18ea99c420ad709705b8cdfc4,https://www.yelp.co.uk/biz/the-city-pavilion-london?osq=bowling,3 star rating,12 reviews,£££,"Bowling, Music Venues"
The Book Club,100 Leonard Street London EC2A 4RH,020 7684 8618,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.wearetbc.com&cachebuster=1639565286&website_link_type=website&src_bizid=UMJxTGTSShg2u1FFwZBWAQ&s=c85ec5f31bed73c3926ae5cf8c2fe5339174f6d2bfcfad423f0780d7a30963d7,https://www.yelp.co.uk/biz/the-book-club-london?osq=snooker,4 star rating,118 reviews,££,"Venues & Event Spaces, Cafes, Cocktail Bars"
The New Bowling Green,13 St Nicholas Church Street Warwick CV34 4JD,01926 411470,,https://www.yelp.co.uk/biz/the-new-bowling-green-warwick?osq=bowling,4 star rating,2 reviews,££,Pubs
Penta Lounge,Holloway Head B1 1NS Birmingham B1,,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.pentahotels.com&cachebuster=1639565306&website_link_type=website&src_bizid=Mt-2Do6ePJyC2y7VSP234Q&s=e0ddb5bdc6cfaa85b730bb2bb857d8b2ed76afea5cff3767595b9e4e93ae68ab,https://www.yelp.co.uk/biz/penta-lounge-birmingham?osq=snooker,4 star rating,,££,"Hotels, Lounges"
Chillies,59-61 High Street Wavertree Liverpool L15 8HE,0151 733 3451,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.chillieslounge.com%2Findex.html&cachebuster=1639565309&website_link_type=website&src_bizid=Nac-7PrhvgYXzYUfsvGWpw&s=7ec1aecce18e4804fd2272a31707713be3886d78acd2e3a3d96c93db3c39c5b9,https://www.yelp.co.uk/biz/chillies-liverpool?osq=Sport+Bars,3.5 star rating,2 reviews,££,"Wine Bars, Sports Bars, Music Venues"
Bowling Green Inn,2 Bowling Street Oldham OL9 7NE,0161 681 9079,,https://www.yelp.co.uk/biz/bowling-green-inn-oldham?osq=bowling,,,££,Pubs
Connaught Bar,The Connaught Carlos Place Mayfair London W1K 2AL,020 7314 3419,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.the-connaught.co.uk%2Fmayfair-bars%2Fconnaught-bar&cachebuster=1639565331&website_link_type=website&src_bizid=hXWtuKNmbVzAYtoZhNLLPw&s=6a8f81fb08d7acf48928325fc19dce3007f87d9f90e243acf930e1ddd3112e89,https://www.yelp.co.uk/biz/connaught-bar-london?osq=pubs,4.5 star rating,66 reviews,££££,Bars
The Groucho Club,45 Dean Street London W1D 4QB,020 7439 4685,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.thegrouchoclub.com&cachebuster=1639565339&website_link_type=website&src_bizid=VbiXcnBuhN2Pag5L2YEGyQ&s=f1d667cca65288ab2f53370cb85b5cdf6de1484655970860edbbe5f8b6177bec,https://www.yelp.co.uk/biz/the-groucho-club-london?osq=snooker,4 star rating,29 reviews,£££,Bars
The Bartons Arms,144 High Street Aston Birmingham B6 4UP,0121 333 5988,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.bartons-arms.co.uk&cachebuster=1639565348&website_link_type=website&src_bizid=mSoII1flspd7RrfmlRlJ0A&s=44ea97ab3ed96fcb4d8da846477246901e4a400f5e3daa9be7ffbcaba3398ecf,https://www.yelp.co.uk/biz/the-bartons-arms-birmingham?osq=pubs,4.5 star rating,30 reviews,££,"Pubs, Thai, Lounges"
The Clarendon,44-46 Clarendon Avenue Leamington Spa CV32 4RZ,01926 460036,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.theclarendonpub.com&cachebuster=1639565357&website_link_type=website&src_bizid=oGVnv_OJfCVclYHjexu06w&s=44eaf29c8d58bc4c3c4be345a399dafae57357f47bed8b074fcabee46b7be6d3,https://www.yelp.co.uk/biz/the-clarendon-leamington-spa?osq=snooker,4 star rating,5 reviews,££,Pubs
The Edgbaston Tap,Hollies Croft Birmingham B5,,,https://www.yelp.co.uk/biz/the-edgbaston-tap-birmingham?osq=snooker,2.5 star rating,2 reviews,££,Pubs
Cavern Pub,5 Mathew St Liverpool L2 6RE,0151 236 4041,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.cavern-liverpool.co.uk&cachebuster=1639565365&website_link_type=website&src_bizid=bm27f_weMCvblCA7KVDicg&s=7966a551205972c3a16ef975b705c1ea32dd09ff2b62c95d6556190e50bc9e34,https://www.yelp.co.uk/biz/cavern-pub-liverpool?osq=pubs,4 star rating,19 reviews,££,"Pubs, Music Venues"
Old Swan,1 St Oswalds St Liverpool L13 5SA,0151 221 3901,,https://www.yelp.co.uk/biz/old-swan-liverpool?osq=pubs,3.5 star rating,3 reviews,££,Pubs
Lord Nelson,243 Union Street London SE1 0LR,020 7207 2701,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.lordnelsonsouthwark.com%2F&cachebuster=1639565380&website_link_type=website&src_bizid=WHSJsMnrsAQEN4TKo0n7XA&s=02d533d6ca7fe08823ee4bd37d9db4de8f6302b7bde7978de71927a185907fe7,https://www.yelp.co.uk/biz/lord-nelson-london-2?osq=pubs,4.5 star rating,54 reviews,££,Pubs
Bloomsbury Bowling Lanes,Bedford Way Tavistock Hotel Basement London WC1H 9EU,020 7183 1979,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.bloomsburybowling.com&cachebuster=1639565390&website_link_type=website&src_bizid=6XX-pQkWThToOPKiWdrfoQ&s=a34904824fec6bb93073ed39d793933a9662e823383c8b5da6fb7cdfdb248584,https://www.yelp.co.uk/biz/bloomsbury-bowling-lanes-london?osq=snooker,4 star rating,78 reviews,££,"Bowling, Karaoke, Bars"
Bear Tavern Mr Q's,500 Bearwood Road Smethwick B66 4BX,0121 429 1184,,https://www.yelp.co.uk/biz/bear-tavern-mr-qs-smethwick?osq=snooker,3 star rating,7 reviews,££,Pubs
