Name,Title,Practice affiliation,Address,Phone,Website,Email,YELP Profile
Camellia Women's Health,,,"621 Capitol Mall Ste 950 Sacramento, CA 95814",(916) 486-0411,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.camelliawomenshealth.com&cachebuster=1647081679&website_link_type=website&src_bizid=mLx2_i1v00Q005mcz8KZIA&s=6c1b30e80043dfb402cc8e10b601345b8f686adfa7cf311efd88e4370a188fb3,,https://www.yelp.com/biz/camellia-womens-health-sacramento-3?osq=Pediatrician
"James J Grady Jr, MD",,Sutter Medical Foundation,"5765 Greenback Lane Sacramento, CA 95841",(916) 865-1040,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.sutterhealth.org%2Ffind-doctor%2Fdr-bindu-nair%3Futm_source%3Dyelp%26utm_medium%3Dsocial%26utm_content%3Dbranded-url%26utm_campaign%3Dsmf-yelp-doctors&cachebuster=1647081694&website_link_type=website&src_bizid=0682hhRZQiYgPb65XVy-lA&s=b3edc9f19952a5c022b8705999f4e0330d4485f90d4287f1ce2758acc4803cfc,,https://www.yelp.com/adredir?ad_business_id=0682hhRZQiYgPb65XVy-lA&campaign_id=-SiK00sulU2jvHItf8CWEw&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjames-j-grady-jr-md-sacramento&request_id=5cc4e610b3ecca91&signature=2ff657163e704bb90964c7ad19884c894632f6717a0e17f13197bba6558fa576&slot=0
"Robert Kahle, MD",,,"6555 Coyle Ave Ste 280 Mercy Medical Group Carmichael, CA 95608",(916) 536-3560,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.dignityhealth.org%2Fourdoctors%2F1699863209-Robert-Kahle%3Futm_campaign%3DMercyMedicalGroup%26utm_medium%3DPhysician%26utm_source%3DLocalSearch%26utm_term%3DRobert-Kahle-1699863209a&cachebuster=1647081771&website_link_type=website&src_bizid=aJHqnWpsZvrtOOrIk1FJ8A&s=fc1fb99904c6d77b26e49b97f375e89589212a8e71b250d9cf92c6f69b765f18,,https://www.yelp.com/biz/robert-kahle-md-carmichael?osq=Pediatrician
"Ulfat Shaikh, MB MD",,,"2315 Stockton Blvd Sacramento, CA 95817",(916) 734-3690,N/a,,https://www.yelp.com/biz/ulfat-shaikh-mb-md-sacramento?osq=Pediatrician
Midtown Walk-In Clinic,,,"3000 Q Street Sacramento, CA 95816",(916) 822-6729,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.dignityhealth.org%2Fsacramento%2Fmedical-group%2Fmercy-medical-group%2Fservices%2Fwalk-in-clinic%3Futm_source%3DYelp%26utm_medium%3DPhysicians&cachebuster=1647081799&website_link_type=website&src_bizid=3PDCSP3ta0LCyAcXQWaA-w&s=01407dfcb32f3d3ea6153018c43b138df8d54bc03ff1dc6407d62232475bde95,,https://www.yelp.com/adredir?ad_business_id=3PDCSP3ta0LCyAcXQWaA-w&campaign_id=8VCIJ6wBq22xhjC8kGgFnw&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmidtown-walk-in-clinic-sacramento&request_id=9d98ace431109494&signature=cd39494a16b17fb6e459eda66ae0c63b7081be6c69befdfa8e8e3611325766d5&slot=0
"Phuong H. Le, MD",,Sutter Medical Foundation ,"1625 Stockton Blvd. Suite 205 Sacramento, CA 95816",(916) 862-9900,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.sutterhealth.org%2Ffind-doctor%2Fdr-phuong-h-le%3Futm_campaign%3Dvalley-yelp-facility%26utm_medium%3Dsocial%26utm_source%3Dyelp%26utm_content%3Dbranded-url&cachebuster=1647081813&website_link_type=website&src_bizid=bJuC3PpjhvUck7EXTRSpXQ&s=404b877915d37fef263eba839f7e1b5058cf004ba2e16fd2414cdbba6d90da1a,,https://www.yelp.com/adredir?ad_business_id=bJuC3PpjhvUck7EXTRSpXQ&campaign_id=-SiK00sulU2jvHItf8CWEw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fphuong-h-le-md-sacramento&request_id=c9b46e4f3df3feb0&signature=24467edbf6fc23e84cb16992b7f6d2a7b383016e7f1576203b058634496bf71c&slot=2
Capital Pediatrics,,,"2101 Stone Blvd Ste 100 West Sacramento, CA 95691",(916) 371-3787,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fcapitalpeds.com%2Fwest-sacramento-pediatrics%2F&cachebuster=1647081824&website_link_type=website&src_bizid=3zt3-k-6idGO7RQXJ03HcQ&s=0cf602094dd2fd8de4e01d629c76b0ee36ab180fad5aa6326036ca9bd634d25c,,https://www.yelp.com/biz/capital-pediatrics-west-sacramento?osq=Pediatrician
Almond Orchard Dental Care,,,"8089 Madison Ave Ste 2 Citrus Heights, CA 95610",(916) 966-1473,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.almondorcharddc.com&cachebuster=1647081835&website_link_type=website&src_bizid=QlVyWLVmeG9lDzTSexTh7g&s=e769ab0e548259ce272f0180513c1fbdd3df0fcfd18677ae5ad9254fc1e2f0ce,,https://www.yelp.com/adredir?ad_business_id=QlVyWLVmeG9lDzTSexTh7g&campaign_id=jNMONLrYIaaSaDNCpVPXQQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Falmond-orchard-dental-care-citrus-heights&request_id=51c0c8f595830697&signature=6a3796207e2254ae84a95eae911f08aabe45ac3d0667aa3e951799330095bc49&slot=1
"Craig C Corp, MD",,Sutter Medical Foundation ,"2050 Blue Oaks Blvd. Roseville, CA 95747",(916) 910-2300,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.sutterhealth.org%2Ffind-doctor%2Fdr-craig-c-corp%3Futm_source%3Dyelp%26utm_medium%3Dsocial%26utm_content%3Dbranded-url%26utm_campaign%3Dsmf-yelp-doctors&cachebuster=1647081839&website_link_type=website&src_bizid=funVB9Ss6uDVRGrSoNfDSw&s=fc7ecccd454b08755d14945a297f3568b3c5339cb1f4d3a3bc18452a4579ba30,,https://www.yelp.com/biz/craig-c-corp-md-roseville?osq=Pediatrician
"Mathew Fruzza, DO",,,"2081 Bronze Star Dr Woodland, CA 95776",(530) 490-4703,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.dignityhealth.org%2Fourdoctors%2F1114157203-Mathew-Fruzza%3Futm_source%3DLocalSearch%26utm_medium%3DPhysician%26utm_campaign%3DDignityHealthMedicalFoundation-WoodlandandDavis%26utm_term%3DMathew-Fruzza-1114157203a&cachebuster=1647081849&website_link_type=website&src_bizid=wxYTR98AsR-_5Or67hvQfw&s=a662e405f0244fd947152aba74e88903d27c89beca023f4a98f4f0360080921d,,https://www.yelp.com/biz/mathew-fruzza-do-woodland?osq=Pediatrician
